Siruta,Judet,Populatie,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
61372,ct,5598,13011.166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44989,bz,1641,15.516148689823279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12224,ar,2907,0.0,110.61128310973513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28610,bh,2276,8.717047451669595,269.4433216168717,409.72451669595785,0.0,0.0,0.0,0.0,14.022407732864675,0.0
151488,sv,2609,3453.855116903028,868.8229206592564,9.582215408202376,0.0,0.0,0.0,0.0,0.0,0.0
159687,tl,5321,16.322683706070286,0.0,585.7081375681263,0.0,0.0,343.5654952076677,0.0,0.0,0.0
110535,mh,2760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36809,bt,4932,378.99006488240065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45003,bz,4432,670.634476534296,0.0,17.294223826714802,0.0,0.0,0.0,0.0,0.0,0.0
151497,sv,1502,0.0,0.0,1782.0645805592544,0.0,0.0,0.0,0.0,0.0,0.0
102348,gr,4874,0.10258514567090685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151503,sv,2489,0.0,0.0,134.6195259140217,0.0,0.0,0.0,0.0,0.0,0.0
94161,il,3739,73.06097887135597,0.0,765.0775608451457,0.0,0.0,0.0,0.0,93.25755549612195,0.0
12242,ar,4277,2.421557166238017,0.0,6756.72504091653,0.0,0.0,0.0,0.0,0.0,0.0
53210,cs,1095,0.0,0.0,511.2456621004566,0.0,0.0,0.0,0.0,0.0,0.0
135128,ph,1043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151512,sv,3967,0.0,0.0,18.406352407360725,0.0,0.0,0.0,0.0,0.0,0.0
118753,ms,1787,73.37213206491326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85984,hr,3942,0.0,0.0,531.9094368340943,0.0,0.0,0.0,0.0,0.0,0.0
